N,P,K,temperature,humidity,ph,rainfall,label
29,43,20,28.26,53.98,6.75,52.77,mothbeans
37,55,47,45.78,93.28,6.81,210.41,papaya
100,40,21,25.1,81.43,7.06,81.33,cotton
15,126,203,18.37,81.97,6.27,67.33,grapes
27,54,18,25.58,62.53,4.89,53.56,mothbeans
31,21,38,22.46,88.68,7.12,105.28,pomegranate
31,20,42,22.12,87.36,6.07,108.47,pomegranate
29,52,19,27.21,63.51,9.02,45.04,mothbeans
78,46,17,21.77,62.61,5.31,91.28,maize
128,55,19,22.47,83.32,6.71,65.72,cotton
92,7,53,27.7,91.54,6.1,25.65,muskmelon
23,131,200,23.32,93.71,6.05,115.66,apple
25,21,12,19.48,94.14,7.0,107.88,orange
104,24,49,28.2,91.77,6.74,27.13,muskmelon
34,27,29,26.41,93.65,6.08,196.8,coconut
17,54,21,34.57,82.74,6.44,46.29,mungbean
33,22,27,30.97,50.38,6.29,93.22,mango
29,49,21,35.01,82.82,6.95,48.54,mungbean
40,54,24,33.94,87.63,7.19,47.16,mungbean
95,34,21,19.68,64.28,6.18,106.22,maize
26,70,18,34.25,60.06,5.65,170.99,pigeonpeas
26,134,201,28.57,81.51,5.6,70.24,grapes
94,22,51,28.29,93.18,6.01,26.95,muskmelon
80,42,19,19.83,62.99,5.93,88.05,maize
23,10,31,25.83,90.22,5.69,221.75,coconut
90,37,33,26.05,59.12,6.53,137.72,coffee
29,63,83,21.5,23.0,7.21,68.69,chickpea
26,29,29,33.08,52.23,6.16,93.09,mango
82,46,38,26.34,76.26,6.97,169.76,jute
75,41,20,21.9,59.65,6.56,95.58,maize
26,49,17,29.7,57.33,8.26,63.68,mothbeans
94,90,51,26.73,83.22,6.23,106.47,banana
43,68,21,28.28,65.27,6.99,68.19,blackgram
30,133,204,22.91,91.5,5.77,113.32,apple
47,77,24,27.54,67.12,6.99,70.59,blackgram
20,66,16,22.41,67.1,6.92,53.2,lentil
78,52,40,24.17,73.25,6.95,181.09,jute
100,17,48,27.51,92.9,6.03,26.47,muskmelon
58,42,39,23.74,77.4,7.01,167.95,jute
44,58,47,44.63,92.42,6.96,192.96,papaya
103,57,37,22.8,86.07,6.7,199.55,rice
31,16,34,18.09,89.12,6.1,104.14,pomegranate
32,134,198,30.18,81.86,6.31,69.45,grapes
23,22,11,15.42,91.65,6.3,111.38,orange
97,55,22,24.36,61.05,5.71,97.29,maize
27,75,18,27.9,55.18,6.34,104.58,pigeonpeas
22,24,29,30.24,43.75,4.78,94.92,mango
140,54,22,23.09,77.97,7.2,72.88,cotton
33,26,35,34.64,51.82,6.65,92.72,mango
56,61,46,35.85,91.72,6.88,101.17,papaya
55,72,21,27.93,70.75,7.25,68.25,blackgram
92,17,28,26.42,69.75,6.31,156.07,coffee
34,23,28,30.57,49.5,7.01,96.84,mango
117,72,53,26.41,78.77,5.65,101.48,banana
75,32,18,21.26,61.95,6.13,80.07,maize
33,46,19,29.32,82.97,6.49,41.43,mungbean
82,52,40,24.52,77.3,6.56,184.94,jute
34,30,7,28.58,93.77,6.69,105.45,orange
53,55,51,40.69,91.94,6.88,140.06,papaya
26,125,204,35.52,80.63,5.96,71.34,grapes
34,49,25,34.83,86.38,7.05,42.48,mungbean
98,17,50,24.15,86.44,6.69,53.88,watermelon
33,46,22,30.72,53.99,7.68,41.59,mothbeans
109,13,48,27.53,90.66,6.44,21.82,muskmelon
31,122,196,21.99,91.77,5.96,111.73,apple
49,71,19,23.75,67.8,7.18,64.76,blackgram
97,86,53,29.21,84.02,6.18,108.4,banana
50,63,21,29.62,65.46,7.25,65.08,blackgram
102,17,49,25.28,88.72,6.75,49.33,watermelon
32,57,18,21.59,20.25,5.68,85.64,kidneybeans
47,77,16,30.42,69.72,6.92,69.31,blackgram
18,13,15,28.12,91.74,6.93,107.88,orange
91,13,55,28.1,92.45,6.63,26.47,muskmelon
28,43,20,30.4,84.72,6.3,48.58,mungbean
44,76,83,19.76,15.55,8.08,65.22,chickpea
28,28,33,29.37,44.25,5.4,92.31,mango
76,41,42,22.47,85.86,6.02,271.3,rice
80,11,50,27.4,93.26,6.46,27.22,muskmelon
92,12,51,27.23,91.37,6.72,19.7,muskmelon
33,77,82,18.68,19.46,6.47,70.81,chickpea
105,86,46,28.97,76.64,6.05,114.26,banana
38,69,21,30.51,65.39,7.24,63.36,blackgram
34,68,22,36.75,61.44,6.01,134.89,pigeonpeas
121,47,21,24.48,82.38,6.95,72.64,cotton
111,47,25,22.78,77.88,6.81,73.52,cotton
27,27,30,28.59,46.75,4.19,98.54,mango
30,24,43,20.92,90.28,6.02,109.28,pomegranate
90,25,48,28.67,92.73,6.21,25.17,muskmelon
25,125,200,16.43,81.32,5.86,74.3,grapes
66,39,19,21.58,69.91,6.42,81.74,maize
24,30,31,33.03,52.73,5.85,93.91,mango
25,21,38,21.54,85.95,6.71,107.0,pomegranate
109,50,19,25.08,79.24,7.13,83.74,cotton
96,31,52,28.1,92.35,6.1,22.13,muskmelon
86,45,40,25.42,80.96,6.98,163.06,jute
16,45,25,28.87,45.4,7.65,53.5,mothbeans
54,71,21,28.38,69.55,7.35,67.9,blackgram
31,72,16,32.83,44.96,6.5,115.15,pigeonpeas
102,12,47,28.4,89.38,6.44,23.93,muskmelon
81,52,39,23.67,83.06,6.82,225.14,rice
35,23,44,18.71,87.11,6.57,104.4,pomegranate
18,23,5,31.82,91.13,7.29,118.43,orange
90,51,46,23.44,86.55,6.58,233.34,rice
53,77,19,29.2,73.02,7.51,68.46,blackgram
27,39,15,31.61,85.7,6.4,36.33,mungbean
33,30,32,30.6,52.27,5.53,94.76,mango
79,17,28,27.42,50.31,6.71,151.04,coffee
45,63,18,28.99,70.07,6.97,68.57,blackgram
76,40,39,26.38,77.98,7.26,157.5,jute
91,83,52,24.35,78.4,6.31,97.2,banana
45,65,21,31.24,65.44,6.98,60.37,blackgram
32,49,22,26.96,45.74,7.09,80.62,mothbeans
118,19,51,27.94,92.5,6.57,23.69,muskmelon
27,25,10,23.77,92.56,6.61,111.76,orange
26,52,18,28.09,62.96,6.7,57.5,lentil
43,57,22,28.49,70.49,7.1,76.88,blackgram
83,40,38,23.58,86.26,6.65,225.65,rice
113,84,53,28.2,78.4,5.66,86.25,banana
20,68,16,21.46,20.47,5.85,109.11,kidneybeans
32,83,76,18.33,19.41,8.72,67.56,chickpea
79,40,40,23.61,89.61,6.74,271.02,rice
24,29,41,20.41,87.79,6.45,101.02,pomegranate
34,128,203,21.95,92.96,5.65,120.07,apple
30,47,22,37.55,85.0,6.83,42.81,mungbean
26,67,17,29.41,64.79,6.49,53.79,lentil
19,134,202,19.42,83.39,6.21,74.91,grapes
29,42,22,25.98,42.15,7.53,37.95,mothbeans
74,50,43,23.47,85.65,6.54,272.54,rice
27,17,32,31.47,52.12,6.65,93.69,mango
77,56,42,24.69,77.58,6.85,191.67,jute
92,48,42,23.5,82.44,6.15,210.91,rice
102,76,47,29.1,78.42,5.77,92.35,banana
37,25,31,31.44,52.63,5.49,91.3,mango
34,24,41,21.55,86.85,6.23,103.77,pomegranate
105,15,48,27.76,92.8,6.0,27.03,muskmelon
112,18,52,27.55,91.62,6.4,25.69,muskmelon
95,31,24,27.12,62.73,6.95,153.36,coffee
88,52,19,21.91,55.85,6.36,76.58,maize
70,39,37,25.54,75.37,6.17,152.7,jute
77,41,20,22.81,60.93,6.85,67.6,maize
52,46,51,29.79,90.97,6.77,164.46,papaya
38,128,200,21.71,84.33,6.01,72.17,grapes
26,137,200,21.94,92.41,6.13,114.44,apple
87,12,50,27.37,89.75,6.09,25.16,muskmelon
32,58,77,18.44,17.5,8.06,80.32,chickpea
121,23,48,25.59,83.42,6.47,52.95,watermelon
34,21,31,26.27,92.49,5.77,144.23,coconut
111,59,21,23.22,76.68,7.17,71.24,cotton
96,13,51,25.21,86.86,6.37,50.06,watermelon
33,46,21,32.27,86.25,6.71,46.69,mungbean
24,43,20,25.68,39.01,6.4,55.34,mothbeans
32,54,14,27.76,86.0,6.47,58.04,mungbean
29,21,28,26.17,94.25,5.87,146.88,coconut
109,67,50,28.37,78.75,6.27,113.47,banana
33,140,195,25.24,83.26,6.39,63.75,grapes
73,46,21,20.48,70.89,6.25,59.84,maize
87,39,23,25.19,64.51,6.26,93.44,maize
108,46,17,25.03,82.5,7.59,75.53,cotton
61,47,20,24.35,52.5,5.53,77.92,maize
90,46,40,22.82,83.72,6.17,281.4,rice
53,65,53,45.71,95.08,6.85,137.7,papaya
69,49,17,24.56,68.75,6.36,83.75,maize
25,74,22,20.78,21.81,5.75,128.1,kidneybeans
23,64,26,26.65,50.1,7.36,133.74,pigeonpeas
112,55,21,23.41,76.35,7.26,83.93,cotton
33,60,75,19.83,15.5,8.61,92.56,chickpea
21,75,20,13.81,21.04,5.73,120.99,kidneybeans
34,14,13,23.18,93.95,6.84,112.64,orange
17,76,18,23.66,23.86,6.04,100.71,kidneybeans
27,64,79,16.61,19.06,7.05,78.44,chickpea
94,30,28,24.21,57.29,6.6,119.93,coffee
37,135,200,23.55,94.79,5.92,121.85,apple
92,50,35,23.44,88.5,7.03,256.85,rice
28,57,20,22.06,63.48,6.28,44.66,lentil
43,72,81,18.22,15.8,7.19,82.81,chickpea
32,21,7,17.34,92.91,6.93,110.9,orange
100,85,48,28.05,79.99,6.26,101.51,banana
37,67,17,22.46,22.55,5.72,122.37,kidneybeans
48,73,22,30.39,70.5,7.17,68.27,blackgram
96,16,47,25.76,86.59,6.63,51.74,watermelon
30,64,24,26.44,61.27,6.74,52.84,lentil
31,34,22,37.53,81.41,6.64,58.24,mungbean
41,25,31,34.26,51.36,6.47,94.94,mango
40,17,9,22.63,91.87,6.24,110.47,orange
26,9,28,24.89,94.77,5.96,191.13,coconut
100,27,46,28.39,91.84,6.17,26.84,muskmelon
27,44,21,29.45,66.27,7.93,40.11,mothbeans
104,41,27,27.31,56.82,6.59,135.47,coffee
30,70,20,20.73,19.27,5.65,85.82,kidneybeans
22,18,29,28.59,47.25,7.31,101.16,mango
42,42,23,35.03,83.41,6.67,42.84,mungbean
110,17,50,25.49,87.32,6.4,59.68,watermelon
31,17,10,29.34,93.71,7.05,107.12,orange
105,87,50,29.7,81.6,6.4,106.95,banana
35,9,7,22.52,91.78,7.23,107.56,orange
116,50,19,23.89,79.25,8.02,91.08,cotton
122,81,51,27.04,78.61,5.96,99.63,banana
50,68,21,34.54,67.09,6.96,65.33,blackgram
64,42,41,24.68,74.75,6.29,184.99,jute
23,13,31,27.28,95.05,5.85,180.65,coconut
121,50,20,24.44,79.12,6.7,72.55,cotton
31,125,200,26.21,82.79,5.62,69.54,grapes
32,27,32,26.75,96.74,5.92,162.42,coconut
39,71,19,31.06,53.31,6.72,104.28,pigeonpeas
27,65,23,28.43,63.52,6.71,39.22,lentil
30,64,22,24.95,65.97,6.51,47.07,lentil
32,50,17,29.08,51.64,5.16,30.13,mothbeans
98,22,47,28.33,90.8,6.5,22.32,muskmelon
29,74,23,18.48,59.98,6.71,47.49,lentil
37,9,29,26.04,92.7,5.78,217.53,coconut
17,9,10,15.74,90.98,5.82,104.6,orange
84,35,17,22.17,66.73,6.22,72.44,maize
71,48,36,24.9,72.71,6.48,153.1,jute
50,66,50,25.15,92.12,6.84,105.53,papaya
31,60,26,30.1,85.82,6.39,63.12,mungbean
84,53,19,19.96,69.53,5.66,107.36,maize
28,66,81,20.4,17.16,6.92,71.52,chickpea
24,25,6,30.26,91.1,6.76,112.51,orange
25,122,202,23.5,93.11,6.1,113.58,apple
79,12,49,24.76,83.17,6.66,52.43,watermelon
27,58,19,35.15,61.74,6.9,197.94,pigeonpeas
27,64,78,20.17,20.24,6.26,72.82,chickpea
67,52,34,24.53,73.65,6.89,174.88,jute
95,73,50,27.97,80.3,6.06,107.13,banana
30,15,15,17.08,92.04,7.03,112.68,orange
23,136,202,32.56,82.44,5.89,70.26,grapes
17,54,19,25.42,54.53,7.55,53.46,mothbeans
88,54,21,21.59,70.09,6.91,93.26,maize
95,83,47,30.47,77.17,6.16,90.25,banana
34,69,76,20.57,17.07,7.33,83.37,chickpea
58,48,19,26.43,61.36,6.03,73.62,maize
34,36,21,25.14,46.55,6.53,65.81,mothbeans
17,17,31,26.65,93.86,6.01,211.12,coconut
36,129,200,22.97,80.65,6.08,67.66,grapes
91,16,51,25.79,82.22,6.76,49.68,watermelon
40,15,13,25.09,92.45,7.05,105.6,orange
28,50,17,27.93,49.83,6.59,53.9,mothbeans
25,21,41,21.46,86.12,6.49,104.14,pomegranate
27,132,197,22.83,93.58,6.01,117.48,apple
87,49,40,25.35,78.03,6.72,193.27,jute
50,59,52,30.42,91.37,6.87,130.6,papaya
34,52,20,28.58,62.59,3.89,60.92,mothbeans
32,19,27,26.11,95.07,5.94,174.92,coconut
79,48,36,24.94,86.63,6.78,307.49,rice
25,72,20,19.85,22.3,5.81,71.82,kidneybeans
138,45,20,23.99,82.18,8.08,89.9,cotton
89,42,39,24.16,78.45,7.01,177.17,jute
28,15,27,27.47,95.25,6.08,207.86,coconut
46,59,79,20.72,18.67,7.19,71.62,chickpea
35,56,20,30.29,50.58,6.26,43.18,mothbeans
31,21,36,23.2,87.68,6.09,102.95,pomegranate
85,49,38,22.93,86.25,6.5,243.71,rice
12,36,29,32.76,49.14,5.36,98.13,mango
24,21,43,25.63,87.26,6.47,102.54,pomegranate
98,28,31,23.44,52.94,6.88,146.0,coffee
25,23,25,34.99,48.23,5.03,92.16,mango
27,18,38,20.67,89.03,6.27,106.89,pomegranate
73,56,19,27.77,67.46,5.81,74.57,maize
77,47,45,23.48,90.6,6.39,250.52,rice
26,71,22,17.42,22.03,5.83,101.62,kidneybeans
67,43,43,21.16,84.8,6.52,210.04,rice
36,48,20,35.74,85.95,6.75,50.17,mungbean
18,139,200,21.95,94.06,6.45,120.64,apple
22,121,196,19.66,83.03,5.86,69.34,grapes
31,123,201,30.12,81.86,5.76,70.91,grapes
102,83,54,29.24,78.24,6.12,95.4,banana
26,70,21,26.41,69.94,6.11,38.83,lentil
15,13,7,30.47,90.66,6.94,114.07,orange
35,39,24,32.86,87.09,6.88,51.74,mungbean
49,48,53,34.59,95.48,6.88,241.14,papaya
27,126,198,9.25,82.59,5.97,70.01,grapes
32,69,50,26.56,94.22,6.89,153.05,papaya
43,75,17,28.27,56.81,7.21,163.07,pigeonpeas
49,61,20,30.76,70.33,7.08,63.44,blackgram
88,52,19,19.65,71.2,6.47,67.83,maize
18,57,23,20.46,23.33,5.9,106.53,kidneybeans
82,39,22,21.59,67.04,6.37,82.83,maize
74,53,18,23.7,58.24,6.06,97.79,maize
91,13,52,27.63,93.32,6.38,26.06,muskmelon
25,12,31,26.42,94.48,6.14,207.95,coconut
83,49,22,25.11,63.17,5.98,77.43,maize
33,69,19,26.41,63.56,6.59,41.42,lentil
30,52,20,28.63,87.14,7.12,46.72,mungbean
104,72,50,26.36,80.56,5.79,109.9,banana
75,53,36,23.56,85.63,6.42,261.71,rice
25,2,32,26.91,90.85,5.47,176.33,coconut
31,74,80,20.44,19.36,7.55,67.26,chickpea
32,79,14,19.52,20.39,5.96,95.85,kidneybeans
95,33,36,27.07,55.87,6.76,163.52,coffee
110,82,52,28.51,81.1,6.19,102.62,banana
94,28,30,26.42,68.5,6.67,157.41,coffee
23,42,23,38.23,87.48,6.77,54.52,mungbean
19,121,198,37.52,81.5,6.2,71.64,grapes
43,59,52,21.89,91.22,6.75,253.06,papaya
42,71,45,24.83,93.7,6.88,205.41,papaya
91,84,50,24.89,80.32,6.2,97.82,banana
44,72,20,29.13,74.0,7.01,71.67,blackgram
31,76,17,19.82,21.96,5.84,117.56,kidneybeans
79,49,42,24.42,73.8,6.01,190.44,jute
48,59,20,30.63,65.68,7.29,64.84,blackgram
97,53,23,24.79,70.29,5.58,96.01,maize
91,25,50,25.57,85.7,6.17,56.55,watermelon
31,73,21,25.63,66.39,6.84,50.89,lentil
15,75,19,23.47,66.25,7.05,51.68,lentil
40,14,37,21.37,90.01,6.64,103.64,pomegranate
30,79,21,30.04,63.92,5.05,161.5,pigeonpeas
28,75,24,24.38,66.27,6.59,42.95,lentil
38,70,78,19.75,19.27,8.19,77.46,chickpea
98,26,29,23.95,57.96,6.36,182.33,coffee
125,14,47,25.6,83.59,6.46,49.4,watermelon
38,67,82,19.63,19.78,8.03,64.05,chickpea
84,76,48,28.95,77.76,5.76,102.72,banana
32,78,22,31.51,63.37,5.16,147.77,pigeonpeas
37,24,36,22.07,90.22,6.71,109.65,pomegranate
30,48,20,30.51,86.84,6.47,45.17,mungbean
136,63,22,25.25,79.93,7.11,82.37,cotton
24,17,28,28.22,52.39,5.07,93.87,mango
35,68,22,24.08,68.08,6.94,48.93,lentil
79,49,23,23.37,66.44,7.19,82.89,maize
116,11,51,27.89,90.48,6.43,25.42,muskmelon
30,62,22,22.11,19.42,5.66,93.17,kidneybeans
50,61,15,27.6,63.91,7.53,63.2,blackgram
28,74,19,18.43,19.01,5.9,121.02,kidneybeans
23,71,16,23.28,63.41,6.36,40.32,lentil
27,71,18,30.23,50.66,6.05,157.55,pigeonpeas
105,23,46,29.06,92.96,6.56,24.22,muskmelon
75,43,40,23.01,85.51,5.97,300.07,rice
24,23,41,17.12,88.03,6.7,101.29,pomegranate
92,81,47,28.85,82.11,5.94,102.16,banana
94,14,53,25.3,83.48,6.71,54.79,watermelon
43,76,21,32.85,64.2,6.61,69.2,blackgram
112,47,19,23.03,80.64,6.66,88.56,cotton
34,26,31,33.61,45.93,5.72,94.83,mango
33,68,21,27.76,52.29,6.51,166.39,pigeonpeas
41,53,52,31.07,93.62,6.84,109.85,papaya
30,74,18,19.14,22.38,5.77,130.33,kidneybeans
103,13,53,24.24,84.38,6.62,52.03,watermelon
29,10,11,10.96,94.91,7.19,97.87,orange
70,42,34,25.23,75.86,6.36,171.97,jute
70,43,21,22.53,62.54,5.97,89.35,maize
34,65,82,20.22,16.04,7.66,84.25,chickpea
110,18,31,27.65,60.87,6.29,107.75,coffee
32,128,203,10.16,82.66,6.17,73.46,grapes
110,23,51,27.55,92.2,6.59,25.56,muskmelon
25,22,7,19.52,93.51,6.95,109.54,orange
114,27,31,25.78,68.26,6.66,156.36,coffee
87,78,53,28.63,82.52,5.57,100.64,banana
25,68,18,39.38,55.86,6.28,131.67,pigeonpeas
29,59,18,38.31,52.24,5.86,140.13,pigeonpeas
34,22,26,25.43,93.87,6.19,173.9,coconut
97,71,51,26.24,78.07,5.9,109.91,banana
38,69,23,33.16,76.88,7.05,68.26,blackgram
32,71,20,20.27,65.82,7.28,42.83,lentil
109,23,49,28.35,93.1,6.53,22.4,muskmelon
18,50,23,35.62,88.57,6.55,51.76,mungbean
29,63,24,21.54,20.47,5.73,84.58,kidneybeans
30,26,41,19.03,87.31,5.51,105.5,pomegranate
33,124,204,26.75,82.61,6.24,70.63,grapes
83,59,38,23.87,85.51,6.33,259.44,rice
82,45,18,21.96,57.79,6.88,70.9,maize
86,75,51,29.01,83.29,5.76,89.08,banana
40,54,18,28.27,56.4,5.96,68.62,mothbeans
53,49,51,34.76,94.26,6.97,220.02,papaya
49,64,47,35.94,90.47,6.86,169.17,papaya
96,87,52,25.91,79.4,6.39,123.75,banana
20,19,40,23.68,86.08,6.8,103.97,pomegranate
38,64,46,43.49,91.36,6.89,139.1,papaya
39,63,20,26.17,45.94,8.07,34.23,mothbeans
121,35,26,26.57,67.17,7.05,157.69,coffee
33,48,15,33.2,85.54,7.24,42.99,mungbean
22,54,22,31.62,86.26,6.72,58.3,mungbean
67,32,40,24.67,75.59,6.76,173.59,jute
92,53,42,24.43,74.95,6.55,168.14,jute
73,45,41,23.06,90.84,6.3,207.03,rice
111,90,50,28.6,79.97,6.34,112.86,banana
23,70,17,22.0,20.92,5.8,86.47,kidneybeans
103,74,51,28.18,81.84,5.68,101.72,banana
119,59,18,23.08,80.3,7.39,101.18,cotton
102,56,24,22.87,81.08,7.2,66.64,cotton
16,15,38,18.02,85.3,5.94,107.87,pomegranate
25,17,31,26.73,96.09,5.94,140.64,coconut
29,144,202,22.14,92.94,6.4,114.08,apple
68,47,37,25.04,75.13,6.96,173.91,jute
34,13,10,22.17,93.54,6.13,113.0,orange
93,47,39,25.33,76.17,7.29,190.82,jute
21,58,20,30.77,86.43,7.0,49.49,mungbean
33,132,200,22.64,92.3,6.08,110.18,apple
33,65,22,33.88,59.89,6.45,191.21,pigeonpeas
28,136,194,23.64,93.72,6.09,115.49,apple
89,40,34,24.62,73.24,6.86,168.29,jute
24,15,30,26.31,90.98,6.24,165.23,coconut
32,15,12,32.73,94.1,7.37,107.91,orange
35,76,18,35.29,52.43,5.45,142.21,pigeonpeas
32,66,20,21.86,63.81,6.89,43.29,lentil
19,41,21,26.85,49.87,5.68,50.84,mothbeans
35,63,18,33.05,70.2,7.13,65.45,blackgram
35,35,28,31.54,53.81,5.59,90.8,mango
34,55,22,26.45,49.13,7.83,45.87,mothbeans
24,41,20,26.75,83.49,6.84,45.13,mungbean
43,68,47,28.4,92.14,6.74,13.75,papaya
37,68,77,20.03,18.78,8.07,70.43,chickpea
55,35,37,25.37,82.83,6.44,205.09,rice
61,70,21,31.68,61.57,6.88,70.52,blackgram
32,16,28,26.11,95.5,5.7,191.26,coconut
30,19,37,25.88,88.82,6.48,105.21,pomegranate
71,50,38,23.44,87.72,6.12,300.17,rice
31,67,23,33.78,66.8,6.1,152.48,pigeonpeas
94,49,42,24.97,87.32,6.58,246.37,rice
29,19,12,23.53,92.76,6.81,107.15,orange
121,39,20,23.99,81.98,6.95,88.18,cotton
75,46,42,25.16,79.02,6.74,165.55,jute
51,67,21,29.32,64.68,6.76,66.73,blackgram
26,135,199,25.18,81.42,5.99,72.06,grapes
20,16,38,18.59,85.74,6.4,102.42,pomegranate
29,31,27,31.13,51.84,5.17,97.91,mango
30,130,195,22.28,93.79,6.02,113.86,apple
31,25,32,26.69,92.06,6.06,218.26,coconut
29,65,24,30.77,66.95,7.09,171.05,pigeonpeas
45,69,20,33.92,71.77,6.72,63.28,blackgram
58,72,24,28.12,69.06,7.19,63.45,blackgram
70,40,42,24.18,70.52,6.97,177.56,jute
118,54,23,25.21,78.94,6.56,83.62,cotton
77,13,50,28.14,93.95,6.4,23.44,muskmelon
31,63,22,29.76,84.71,6.67,39.55,mungbean
31,17,28,25.75,92.35,5.82,171.97,coconut
91,20,49,25.59,79.14,6.27,42.62,watermelon
109,16,49,27.79,91.43,6.38,27.92,muskmelon
45,57,49,32.17,90.91,6.96,117.49,papaya
91,43,18,22.5,74.66,6.37,96.7,maize
94,31,29,25.61,55.34,6.71,143.05,coffee
75,22,51,24.9,87.89,6.44,47.79,watermelon
85,43,34,24.77,57.64,6.7,185.17,coffee
23,70,23,22.75,66.21,6.02,54.01,lentil
34,74,21,17.47,21.82,5.83,112.96,kidneybeans
44,53,52,25.64,92.21,6.83,158.62,papaya
23,46,17,33.18,83.04,6.92,49.88,mungbean
29,68,20,17.93,20.71,5.9,117.23,kidneybeans
36,79,24,21.36,22.01,5.67,109.24,kidneybeans
28,30,30,29.58,49.67,5.29,95.43,mango
98,11,53,26.23,86.44,6.36,52.41,watermelon
25,20,30,26.63,93.01,6.13,206.31,coconut
51,67,20,31.36,65.64,6.84,65.24,blackgram
93,90,56,27.62,80.74,6.12,105.7,banana
18,51,21,29.18,47.89,7.61,35.98,mothbeans
23,129,195,20.96,90.94,5.41,110.98,apple
25,44,20,26.82,51.42,7.95,61.68,mothbeans
17,24,39,23.97,90.26,6.81,106.48,pomegranate
29,124,199,23.84,93.78,5.73,108.76,apple
34,66,21,30.56,49.7,6.64,152.2,pigeonpeas
22,43,21,28.92,60.44,7.84,54.23,mothbeans
29,45,22,31.94,84.47,6.98,44.59,mungbean
25,14,10,22.65,92.49,6.75,116.37,orange
44,53,48,29.68,92.48,6.74,108.29,papaya
24,54,18,29.01,62.19,7.52,47.01,mothbeans
44,64,47,30.56,91.26,6.91,159.0,papaya
110,30,47,25.41,88.64,6.76,42.94,watermelon
27,22,39,20.62,90.46,6.48,105.97,pomegranate
101,20,51,25.45,86.74,6.51,51.35,watermelon
27,46,16,33.65,78.75,6.61,38.18,mungbean
26,38,17,28.69,49.84,5.52,50.39,mothbeans
26,45,21,31.04,86.91,6.57,44.25,mungbean
117,48,15,23.54,81.36,6.99,83.5,cotton
31,70,21,36.45,55.73,5.07,142.86,pigeonpeas
106,79,54,27.49,80.07,6.32,106.4,banana
37,65,78,19.53,21.35,7.43,72.78,chickpea
85,26,34,25.51,56.34,6.12,135.27,coffee
48,59,55,37.06,94.44,6.87,108.37,papaya
36,46,25,35.5,83.37,6.83,49.02,mungbean
23,57,21,32.77,58.25,7.08,76.51,pigeonpeas
29,20,41,21.32,91.23,5.29,108.18,pomegranate
25,21,13,19.99,92.1,6.87,113.59,orange
30,37,16,36.35,84.93,7.03,50.8,mungbean
94,78,52,24.66,75.98,6.0,107.31,banana
19,65,18,22.19,61.49,7.06,48.73,lentil
98,81,46,27.86,78.17,5.76,96.62,banana
21,12,11,24.7,92.72,6.63,114.99,orange
82,40,26,20.27,68.4,6.8,83.63,maize
12,128,201,23.47,94.87,6.05,115.66,apple
117,81,47,27.63,82.33,5.86,113.38,banana
35,82,18,25.63,70.15,6.32,143.47,pigeonpeas
120,48,16,24.44,78.9,6.55,70.17,cotton
28,73,16,32.51,64.4,7.07,123.85,pigeonpeas
96,40,36,23.0,82.42,6.43,165.0,rice
35,19,13,15.02,91.8,6.87,108.14,orange
27,12,13,38.12,92.86,6.41,109.92,orange
81,53,20,23.16,64.68,5.79,84.61,maize
81,37,43,24.11,79.45,6.72,179.36,jute
74,50,38,24.95,75.44,6.87,167.66,jute
31,133,202,22.07,93.3,6.09,113.29,apple
21,23,13,30.96,92.49,6.65,98.01,orange
91,24,29,25.87,59.56,6.39,156.77,coffee
33,139,199,23.38,92.77,6.46,106.39,apple
51,52,48,40.29,93.31,7.0,79.34,papaya
20,129,200,23.52,93.59,6.13,120.19,apple
32,17,42,24.93,89.54,6.32,106.42,pomegranate
28,42,21,31.39,51.95,5.41,39.38,mothbeans
33,43,23,24.27,50.93,7.4,44.93,mothbeans
27,19,6,24.19,93.94,6.55,115.56,orange
117,93,55,28.17,81.15,5.8,95.03,banana
124,30,29,25.8,58.78,6.5,151.82,coffee
22,141,197,20.57,82.44,5.92,69.37,grapes
14,24,40,17.62,87.82,6.21,102.41,pomegranate
27,10,8,19.85,93.8,6.91,108.5,orange
93,76,51,28.44,77.94,5.88,108.18,banana
34,67,19,28.23,63.74,6.79,43.43,lentil
21,65,20,24.04,64.5,7.58,47.86,lentil
48,61,52,43.54,91.56,6.76,198.63,papaya
98,21,33,25.53,61.08,6.88,160.48,coffee
105,36,28,24.4,61.69,6.87,198.22,coffee
27,79,23,22.42,19.91,5.71,84.31,kidneybeans
115,30,28,26.13,65.55,6.31,162.7,coffee
27,45,19,32.49,82.41,6.98,52.99,mungbean
99,28,31,26.1,66.45,6.85,122.08,coffee
92,6,50,27.49,91.89,6.2,27.78,muskmelon
92,7,48,27.6,92.99,6.3,26.42,muskmelon
27,44,18,28.46,54.28,7.03,56.44,mothbeans
41,64,77,20.33,18.2,7.6,73.81,chickpea
104,89,51,27.54,81.45,5.94,118.09,banana
48,58,51,25.87,90.95,6.77,179.0,papaya
32,42,19,28.55,58.34,7.8,50.12,mothbeans
35,61,21,28.43,62.09,6.92,68.09,blackgram
102,33,30,24.99,66.5,6.2,141.9,coffee
86,36,41,22.79,85.0,6.62,251.72,rice
23,131,200,22.16,92.84,5.96,120.9,apple
91,8,51,25.76,83.93,7.12,52.18,watermelon
88,59,19,22.89,62.41,6.25,102.9,maize
19,22,5,15.52,95.16,6.92,108.82,orange
110,49,18,23.12,78.09,6.73,68.65,cotton
