Crop,District,Soil,Rainfall,Temperature,Humidity,N,P,K,pH,Season,Irrigation,Yield
Cotton,Rajkot,Sandy,1728.2,29.7,91.4,101.1,53.8,102.1,7.32,Kharif,Tube Well,2.95
Soybean,Amreli,Red,1309.5,27.9,82.8,92.4,47.9,21.3,7.51,Kharif,Rainfed,3.18
Soybean,Junagadh,Alluvial,1366.5,19.1,62.8,47.0,25.7,29.8,7.37,Kharif,Tube Well,2.21
Wheat,Surat,Clay,430.8,23.4,62.3,66.6,63.9,42.3,6.54,Rabi,Tube Well,5.15
Cotton,Rajkot,Black,1766.1,35.0,79.9,47.6,13.6,58.6,6.41,Kharif,Canal,2.76
Wheat,Bhavnagar,Clay,723.8,13.1,49.6,116.8,46.8,72.4,6.8,Rabi,Canal,4.71
Maize,Junagadh,Black,1213.8,30.0,58.5,135.3,25.8,114.9,8.48,Kharif,Tube Well,5.18
Maize,Ahmedabad,Black,913.1,30.9,56.2,45.7,11.0,16.5,7.99,Rabi,Tube Well,5.31
Rice,Surat,Red,2153.9,27.5,90.6,112.8,34.8,39.4,6.87,Kharif,Canal,4.21
Rice,Surat,Sandy,1880.3,29.0,65.4,21.1,38.6,112.3,6.19,Summer,Canal,3.9
Cotton,Ahmedabad,Red,1144.1,27.6,91.8,20.1,82.1,31.1,8.47,Kharif,Sprinkler,3.45
Wheat,Surat,Black,768.6,17.2,53.7,110.5,83.5,114.8,7.23,Rabi,Drip,6.08
Cotton,Vadodara,Sandy,1302.0,31.2,72.2,43.0,83.5,25.7,7.02,Kharif,Sprinkler,3.25
Maize,Rajkot,Black,1360.7,20.1,73.8,47.0,44.5,90.5,7.19,Kharif,Canal,4.03
Maize,Surat,Clay,1303.3,23.9,77.3,77.2,49.8,36.5,7.27,Rabi,Canal,4.98
Rice,Surat,Sandy,1310.1,26.1,91.4,75.2,17.6,101.8,5.64,Summer,Drip,5.36
Wheat,Junagadh,Red,831.7,19.5,49.9,71.0,13.0,28.4,7.8,Rabi,Canal,5.17
Rice,Vadodara,Black,1812.4,24.8,71.1,21.2,45.0,107.7,5.66,Summer,Sprinkler,4.5
Maize,Bhavnagar,Sandy,1263.6,23.9,60.6,59.0,67.0,100.8,6.04,Kharif,Drip,4.72
Barley,Surat,Sandy,648.4,14.1,53.3,69.7,70.3,17.2,6.31,Rabi,Sprinkler,3.64
Wheat,Amreli,Black,680.9,16.2,65.0,111.1,18.2,69.0,7.03,Rabi,Drip,5.67
Cotton,Rajkot,Black,1776.1,32.0,78.9,130.5,65.6,91.5,8.09,Kharif,Canal,3.5
Soybean,Rajkot,Clay,1380.7,30.0,74.5,107.2,55.0,114.4,6.99,Kharif,Rainfed,3.09
Maize,Ahmedabad,Sandy,845.9,18.4,79.4,21.4,66.3,116.9,6.81,Rabi,Rainfed,3.93
Maize,Amreli,Black,986.7,24.0,60.8,77.9,19.5,116.0,7.64,Kharif,Drip,5.72
Maize,Junagadh,Red,1227.9,27.5,71.9,58.0,75.3,67.7,5.71,Kharif,Canal,5.42
Wheat,Bhavnagar,Red,356.7,21.4,41.8,85.9,33.0,47.2,6.56,Rabi,Tube Well,5.11
Rice,Amreli,Black,2029.2,30.5,72.4,62.7,16.7,50.0,7.53,Kharif,Drip,4.48
Cotton,Amreli,Red,941.9,25.9,73.3,71.8,88.4,22.1,7.06,Kharif,Sprinkler,3.79
Rice,Ahmedabad,Alluvial,1365.0,32.3,86.1,70.7,37.7,56.7,6.29,Kharif,Rainfed,5.35
Wheat,Junagadh,Alluvial,682.0,13.1,42.6,134.2,33.8,24.7,7.3,Rabi,Canal,4.79
Cotton,Surat,Alluvial,821.2,35.5,72.5,101.1,66.5,79.1,6.44,Kharif,Sprinkler,3.49
Soybean,Junagadh,Black,595.3,20.2,83.1,108.4,80.6,36.3,7.26,Kharif,Tube Well,3.52
Wheat,Amreli,Black,574.5,12.2,60.4,50.4,46.0,115.5,6.7,Rabi,Sprinkler,4.57
Barley,Amreli,Black,354.6,18.1,43.2,109.8,83.2,60.6,6.28,Rabi,Canal,5.21
Soybean,Surat,Black,508.1,26.3,71.5,96.5,29.4,90.0,5.77,Kharif,Tube Well,4.46
Cotton,Bhavnagar,Black,822.1,23.1,92.3,62.6,44.0,37.6,7.29,Kharif,Drip,3.66
Wheat,Amreli,Alluvial,792.8,23.5,72.6,85.3,26.0,79.8,7.73,Rabi,Canal,5.48
Maize,Amreli,Alluvial,685.6,29.2,61.7,123.8,83.2,105.3,5.61,Kharif,Drip,6.94
Maize,Vadodara,Alluvial,723.5,27.9,65.0,73.1,61.9,113.3,5.69,Kharif,Canal,6.27
Maize,Ahmedabad,Black,1031.2,23.7,66.4,23.4,26.8,44.5,7.64,Kharif,Rainfed,5.2
Barley,Ahmedabad,Black,858.2,13.6,58.1,114.4,85.4,93.4,7.66,Rabi,Drip,4.72
Cotton,Vadodara,Black,2094.4,28.2,81.6,50.6,69.4,23.0,8.12,Kharif,Rainfed,2.22
Soybean,Bhavnagar,Clay,1069.0,23.2,59.5,47.8,35.5,109.9,5.73,Kharif,Rainfed,3.12
Rice,Amreli,Clay,1282.7,28.5,77.4,21.6,33.7,63.2,6.73,Summer,Drip,5.89
Barley,Junagadh,Clay,757.3,24.1,58.6,114.7,33.7,71.8,6.54,Rabi,Drip,5.29
Maize,Amreli,Alluvial,1023.9,19.7,57.4,57.3,23.4,40.6,6.3,Rabi,Rainfed,4.53
Barley,Bhavnagar,Sandy,656.3,17.8,55.0,84.9,65.7,88.7,6.02,Rabi,Tube Well,4.0
Barley,Rajkot,Alluvial,642.9,13.6,61.2,34.1,37.0,30.0,7.58,Rabi,Sprinkler,4.29
Soybean,Vadodara,Alluvial,1111.0,28.8,83.3,113.2,58.9,105.0,7.52,Kharif,Drip,4.77
Maize,Ahmedabad,Sandy,1158.2,27.8,76.3,75.8,79.9,36.4,5.88,Rabi,Drip,5.33
Barley,Rajkot,Clay,801.3,17.7,57.0,21.6,42.8,83.0,5.55,Rabi,Tube Well,4.2
Barley,Amreli,Sandy,758.7,23.9,59.1,137.8,46.0,68.9,8.47,Rabi,Drip,4.11
Cotton,Vadodara,Red,1249.6,25.1,75.5,64.7,15.5,53.8,6.89,Kharif,Canal,3.94
Maize,Surat,Red,835.9,26.8,53.3,32.4,13.9,76.0,6.78,Rabi,Drip,6.15
Wheat,Vadodara,Clay,767.2,12.2,47.3,105.6,40.9,84.6,6.54,Rabi,Canal,4.52
Maize,Vadodara,Alluvial,1020.9,26.9,55.5,76.9,67.3,43.4,6.11,Rabi,Canal,6.14
Maize,Rajkot,Clay,882.4,30.7,67.7,42.6,16.2,88.1,6.65,Kharif,Canal,5.9
Rice,Amreli,Black,2114.7,30.9,74.7,52.3,25.3,87.9,6.16,Kharif,Tube Well,4.1
Cotton,Bhavnagar,Alluvial,1940.9,32.9,87.8,42.5,17.1,88.4,6.61,Kharif,Sprinkler,2.59
Barley,Amreli,Clay,838.7,23.5,62.1,123.0,72.7,60.0,6.1,Rabi,Sprinkler,4.86
Soybean,Bhavnagar,Clay,1260.4,21.5,70.2,28.1,17.6,119.9,6.48,Kharif,Canal,2.96
Wheat,Surat,Clay,482.8,12.6,54.4,35.6,11.8,52.8,7.85,Rabi,Tube Well,4.21
Maize,Amreli,Sandy,708.8,18.2,76.8,94.8,71.0,19.1,8.01,Rabi,Sprinkler,4.32
Soybean,Vadodara,Clay,851.5,19.0,72.3,108.0,64.1,29.5,7.24,Kharif,Canal,3.69
Maize,Bhavnagar,Red,807.7,25.4,57.4,139.5,88.5,83.2,7.91,Rabi,Canal,6.18
Maize,Surat,Clay,1109.8,23.2,83.0,40.1,50.0,87.5,7.59,Rabi,Tube Well,5.48
Rice,Amreli,Alluvial,1846.9,33.3,77.4,44.5,13.4,75.9,6.86,Summer,Tube Well,4.49
Barley,Junagadh,Red,618.7,17.6,45.4,88.7,32.2,111.7,7.25,Rabi,Rainfed,4.27
Cotton,Surat,Sandy,1392.7,23.2,83.2,125.7,80.6,84.2,6.13,Kharif,Sprinkler,3.5
Rice,Surat,Red,2056.3,30.7,94.2,75.8,77.8,21.6,6.51,Summer,Sprinkler,3.98
Soybean,Bhavnagar,Sandy,1102.4,30.5,60.7,86.2,73.2,58.7,6.0,Kharif,Drip,3.66
Wheat,Junagadh,Clay,885.2,22.6,73.9,72.8,32.3,98.8,6.48,Rabi,Rainfed,4.95
Soybean,Amreli,Sandy,730.8,23.0,73.6,27.5,26.8,99.9,5.94,Kharif,Canal,3.5
Barley,Ahmedabad,Red,689.5,14.2,56.7,113.7,34.3,47.7,5.51,Rabi,Rainfed,3.84
Cotton,Amreli,Black,1443.4,26.3,89.7,26.8,43.5,63.1,7.68,Kharif,Drip,4.3
Rice,Bhavnagar,Alluvial,2185.2,34.5,76.1,43.4,49.2,92.9,6.98,Kharif,Sprinkler,3.54
Cotton,Amreli,Red,1306.0,34.0,77.2,59.4,46.3,95.1,5.88,Kharif,Rainfed,3.04
Rice,Junagadh,Alluvial,2158.3,35.1,87.2,53.5,20.5,104.7,6.0,Summer,Rainfed,2.68
Maize,Junagadh,Red,1312.9,26.5,70.2,87.1,39.7,97.5,6.26,Kharif,Canal,5.48
Soybean,Bhavnagar,Clay,1105.5,21.1,57.6,124.9,30.0,42.6,5.5,Kharif,Rainfed,2.7
Wheat,Ahmedabad,Black,557.1,15.2,49.3,86.5,26.0,45.9,6.21,Rabi,Rainfed,5.03
Maize,Vadodara,Clay,1184.5,20.2,67.1,71.6,57.8,120.0,7.81,Kharif,Rainfed,4.33
Soybean,Amreli,Alluvial,1107.0,28.7,51.6,97.6,28.1,85.4,6.9,Kharif,Sprinkler,4.29
Cotton,Amreli,Black,1413.5,33.7,69.8,23.0,45.9,39.9,5.65,Kharif,Drip,3.46
Rice,Vadodara,Black,1042.9,27.3,89.0,67.1,70.1,28.2,7.82,Kharif,Tube Well,5.82
Soybean,Bhavnagar,Alluvial,1174.5,24.0,53.1,53.9,43.5,45.7,6.5,Kharif,Sprinkler,3.66
Wheat,Bhavnagar,Red,678.5,21.1,46.7,55.5,59.6,78.0,7.02,Rabi,Rainfed,5.2
Cotton,Ahmedabad,Clay,1749.4,29.6,75.4,72.3,73.6,44.2,5.93,Kharif,Rainfed,3.06
Maize,Junagadh,Black,1392.5,25.6,84.5,132.7,46.2,35.8,5.99,Rabi,Canal,5.34
Barley,Vadodara,Black,454.2,12.1,42.1,128.6,61.8,43.7,6.03,Rabi,Canal,4.07
Soybean,Surat,Alluvial,550.0,18.1,57.4,99.6,42.9,57.3,8.15,Kharif,Tube Well,3.23
Rice,Amreli,Black,1279.0,28.0,89.9,34.4,68.8,70.8,6.36,Summer,Tube Well,5.57
Wheat,Ahmedabad,Sandy,440.4,13.6,59.1,128.3,37.5,92.0,7.48,Rabi,Drip,4.94
Maize,Ahmedabad,Alluvial,509.7,29.6,78.0,32.5,56.1,63.7,5.86,Kharif,Rainfed,5.95
Soybean,Amreli,Clay,560.5,26.3,75.9,23.9,62.7,70.9,5.81,Kharif,Sprinkler,4.18
Soybean,Vadodara,Sandy,1214.2,18.4,77.4,48.8,21.5,27.1,5.58,Kharif,Canal,1.38
Rice,Bhavnagar,Clay,1154.0,30.1,75.8,118.8,75.7,65.1,6.55,Kharif,Drip,6.34
Rice,Amreli,Alluvial,1968.4,27.0,92.4,87.9,24.6,29.7,7.23,Kharif,Drip,4.86
Soybean,Surat,Clay,748.2,20.9,50.6,101.5,16.1,59.2,7.31,Kharif,Drip,3.84
Barley,Amreli,Red,884.1,19.9,65.0,28.2,43.4,27.2,7.34,Rabi,Canal,4.59
Maize,Bhavnagar,Sandy,1083.4,21.2,73.8,132.8,13.7,48.6,6.81,Kharif,Drip,5.15
Barley,Ahmedabad,Clay,656.0,12.4,71.8,38.8,27.6,69.4,7.63,Rabi,Rainfed,3.48
Maize,Amreli,Red,781.7,29.7,51.8,75.8,40.4,48.2,6.36,Kharif,Drip,6.14
Wheat,Vadodara,Clay,569.0,18.2,71.3,99.0,10.6,114.0,6.21,Rabi,Sprinkler,5.22
Cotton,Junagadh,Clay,1981.9,28.8,80.4,57.0,55.8,49.1,5.62,Kharif,Canal,2.95
Soybean,Amreli,Red,860.2,29.0,59.3,138.8,12.1,78.4,7.48,Kharif,Drip,4.31
Rice,Ahmedabad,Black,1077.3,22.9,91.6,70.4,49.8,111.3,7.83,Kharif,Drip,5.63
Rice,Ahmedabad,Alluvial,1276.8,33.3,66.6,39.2,36.8,23.1,6.2,Kharif,Canal,5.17
Soybean,Vadodara,Clay,708.3,30.2,82.4,70.4,14.0,19.1,7.22,Kharif,Drip,4.31
Wheat,Amreli,Black,522.5,15.5,64.4,63.7,55.3,15.7,5.69,Rabi,Rainfed,4.71
Maize,Surat,Sandy,1249.1,29.3,57.9,47.1,75.4,112.7,5.79,Rabi,Sprinkler,4.47
Cotton,Vadodara,Alluvial,2018.9,32.6,86.8,78.1,65.5,73.0,6.15,Kharif,Sprinkler,2.63
Soybean,Vadodara,Red,992.7,28.3,62.1,68.9,20.0,33.0,7.98,Kharif,Rainfed,3.18
Wheat,Vadodara,Red,539.6,16.7,50.9,34.7,18.9,83.1,8.13,Rabi,Sprinkler,4.87
Rice,Junagadh,Black,947.8,22.6,84.7,84.2,16.6,18.7,8.47,Summer,Rainfed,4.49
Cotton,Surat,Alluvial,1608.9,34.1,73.7,76.1,59.6,58.2,6.78,Kharif,Tube Well,3.4
Cotton,Rajkot,Clay,1190.5,23.8,68.0,92.4,51.9,41.6,6.91,Kharif,Tube Well,3.6
Cotton,Vadodara,Alluvial,1643.5,29.2,66.8,54.5,17.5,116.2,5.91,Kharif,Canal,3.68
Maize,Ahmedabad,Red,1189.2,18.1,50.0,65.4,21.5,16.9,6.89,Kharif,Canal,3.85
Rice,Amreli,Alluvial,1710.6,25.0,68.7,104.2,19.1,119.7,6.05,Kharif,Sprinkler,5.36
Rice,Ahmedabad,Sandy,1451.5,22.2,67.4,51.0,12.2,81.3,6.78,Summer,Drip,4.5
Maize,Ahmedabad,Black,545.4,30.5,70.2,87.7,50.0,22.3,5.77,Rabi,Canal,6.15
Wheat,Amreli,Alluvial,573.6,14.0,65.0,55.2,52.0,88.3,8.2,Rabi,Canal,5.06
Cotton,Junagadh,Alluvial,1155.1,32.6,67.5,130.9,36.1,28.4,6.83,Kharif,Tube Well,4.2
Barley,Amreli,Sandy,715.8,19.8,52.0,36.1,17.6,102.3,8.26,Rabi,Drip,4.03
Cotton,Bhavnagar,Red,800.0,32.0,75.7,50.5,11.0,71.7,8.05,Kharif,Tube Well,3.0
Maize,Junagadh,Red,997.8,29.4,63.4,100.0,89.1,38.7,6.67,Kharif,Drip,5.97
Maize,Bhavnagar,Red,559.2,30.5,66.2,58.4,48.1,48.4,6.97,Kharif,Canal,5.98
Cotton,Amreli,Clay,1310.5,32.3,85.0,34.3,55.8,42.0,7.91,Kharif,Tube Well,3.42
Soybean,Junagadh,Black,898.7,26.6,79.7,43.5,20.0,116.2,5.82,Kharif,Rainfed,3.8
Wheat,Bhavnagar,Red,647.8,13.2,42.0,32.7,56.8,72.2,6.2,Rabi,Sprinkler,4.73
Barley,Ahmedabad,Red,729.1,15.5,50.8,93.6,81.8,100.0,7.25,Rabi,Tube Well,4.76
Barley,Bhavnagar,Red,898.1,21.8,67.0,60.5,85.3,70.6,7.7,Rabi,Sprinkler,4.59
Cotton,Amreli,Sandy,2102.9,31.5,74.2,64.4,54.0,98.0,6.45,Kharif,Tube Well,1.95
Maize,Bhavnagar,Black,555.8,22.8,67.7,39.4,62.6,119.8,6.86,Rabi,Drip,5.81
Barley,Rajkot,Red,687.7,20.6,56.0,67.6,46.4,58.6,7.69,Rabi,Canal,4.53
Rice,Ahmedabad,Black,1468.4,30.4,82.5,68.2,37.0,28.3,6.68,Kharif,Canal,5.76
Maize,Amreli,Alluvial,537.8,23.1,53.5,34.0,30.3,46.0,7.09,Rabi,Drip,5.88
Maize,Surat,Black,766.7,20.0,55.3,71.9,57.7,23.5,8.32,Rabi,Rainfed,4.77
Cotton,Amreli,Red,1682.1,33.6,88.5,53.2,85.3,28.1,8.13,Kharif,Canal,3.07
Wheat,Vadodara,Sandy,634.0,20.1,72.8,100.7,48.5,100.0,8.35,Rabi,Tube Well,4.64
Wheat,Junagadh,Clay,380.0,20.4,71.6,66.0,27.3,61.5,5.65,Rabi,Rainfed,4.71
Wheat,Surat,Sandy,673.4,16.9,68.0,86.6,76.1,81.3,7.85,Rabi,Tube Well,4.57
Barley,Bhavnagar,Sandy,357.9,18.7,40.7,118.4,76.0,97.7,6.35,Rabi,Rainfed,4.55
Maize,Ahmedabad,Red,572.1,24.2,55.7,42.1,26.2,55.6,5.65,Kharif,Canal,5.58
Maize,Surat,Alluvial,506.6,18.4,69.4,82.5,89.6,36.2,6.27,Rabi,Rainfed,4.33
Soybean,Rajkot,Alluvial,1312.5,25.3,65.8,59.6,57.1,62.7,6.85,Kharif,Drip,4.09
Barley,Rajkot,Sandy,382.5,21.7,65.5,25.6,84.2,24.6,6.36,Rabi,Drip,4.45
Maize,Junagadh,Black,798.0,28.7,64.5,98.4,56.4,17.3,8.47,Rabi,Tube Well,5.94
Barley,Vadodara,Clay,403.3,14.5,67.9,101.3,53.8,64.9,8.27,Rabi,Sprinkler,4.25
Soybean,Ahmedabad,Black,1259.4,22.5,74.1,135.4,68.4,66.4,7.39,Kharif,Tube Well,3.68
Barley,Surat,Alluvial,752.0,17.9,60.2,119.9,74.3,106.0,5.68,Rabi,Rainfed,5.14
Wheat,Surat,Alluvial,602.8,21.5,61.7,88.2,14.7,81.4,7.81,Rabi,Tube Well,5.56
Wheat,Vadodara,Black,464.6,17.0,63.4,78.1,43.5,52.6,7.28,Rabi,Drip,5.93
Rice,Vadodara,Black,1598.4,24.9,87.3,23.0,38.4,96.9,7.19,Kharif,Tube Well,5.33
Soybean,Rajkot,Clay,961.9,19.8,65.4,58.1,83.0,21.4,7.58,Kharif,Canal,3.01
Wheat,Rajkot,Alluvial,578.5,24.7,48.5,31.0,35.5,26.0,5.89,Rabi,Canal,4.92
Maize,Ahmedabad,Black,612.8,21.6,72.5,53.1,49.6,27.8,7.26,Rabi,Sprinkler,5.6
Wheat,Vadodara,Red,686.4,16.1,49.0,59.3,23.2,34.0,7.87,Rabi,Tube Well,4.57
Soybean,Amreli,Clay,560.6,29.6,56.2,106.8,71.8,90.1,7.24,Kharif,Canal,4.3
Cotton,Vadodara,Black,1709.1,31.4,89.0,131.9,11.6,31.1,8.16,Kharif,Rainfed,3.32
Wheat,Bhavnagar,Alluvial,862.5,26.0,65.2,54.5,80.4,20.2,6.19,Rabi,Sprinkler,4.72
Rice,Amreli,Clay,2064.5,22.3,71.3,70.0,38.5,110.7,5.62,Kharif,Tube Well,3.91
Cotton,Bhavnagar,Clay,1224.7,32.9,88.0,103.0,87.3,56.3,5.89,Kharif,Sprinkler,3.83
Wheat,Rajkot,Clay,666.3,14.9,57.7,57.5,44.2,82.7,7.74,Rabi,Canal,4.91
Maize,Amreli,Black,791.4,28.7,55.0,98.9,61.3,17.7,7.86,Rabi,Drip,6.11
Barley,Surat,Alluvial,680.0,18.8,59.1,131.1,79.7,97.4,6.32,Rabi,Rainfed,5.04
Rice,Amreli,Red,1228.5,22.9,70.3,20.6,45.6,23.8,7.55,Summer,Tube Well,5.0
Barley,Surat,Red,509.2,23.0,68.1,138.4,57.8,23.6,7.44,Rabi,Rainfed,4.71
Soybean,Bhavnagar,Red,927.9,29.9,63.4,40.2,76.9,72.6,6.07,Kharif,Drip,4.51
Cotton,Vadodara,Black,1646.0,28.5,89.9,119.5,66.8,26.1,8.02,Kharif,Tube Well,3.9
Rice,Junagadh,Sandy,1370.9,34.4,66.4,135.4,64.3,81.3,6.31,Kharif,Canal,5.08
Maize,Amreli,Clay,1198.0,23.5,54.9,21.3,53.5,117.5,6.61,Kharif,Canal,4.86
Wheat,Ahmedabad,Clay,578.7,12.9,53.9,76.9,46.1,106.3,7.09,Rabi,Sprinkler,4.54
Cotton,Vadodara,Clay,1944.7,34.5,90.6,100.8,21.0,44.1,5.64,Kharif,Sprinkler,2.17
Barley,Amreli,Black,589.4,24.9,52.1,26.6,26.3,59.0,6.16,Rabi,Drip,4.74
Rice,Surat,Sandy,1034.9,23.7,67.0,106.9,84.3,60.2,5.86,Summer,Canal,4.74
Maize,Surat,Black,599.5,18.5,84.8,47.9,14.3,34.9,5.62,Rabi,Canal,4.6
Soybean,Ahmedabad,Clay,899.8,27.5,67.8,123.4,79.3,16.0,7.83,Kharif,Drip,4.55
Wheat,Ahmedabad,Alluvial,837.6,17.6,70.2,52.0,52.8,105.2,6.48,Rabi,Drip,5.74
Wheat,Surat,Red,805.1,12.0,50.8,48.9,28.7,22.2,6.06,Rabi,Rainfed,3.45
Maize,Amreli,Clay,1314.8,24.9,61.6,32.8,86.3,21.3,6.39,Rabi,Tube Well,5.0
Rice,Amreli,Black,1688.9,23.7,67.1,129.1,25.2,101.2,7.13,Kharif,Tube Well,5.3
Cotton,Surat,Clay,1516.5,32.8,93.0,129.1,75.6,108.3,6.1,Kharif,Canal,3.66
Cotton,Bhavnagar,Alluvial,1350.6,29.6,69.8,102.9,23.4,47.6,7.01,Kharif,Sprinkler,4.38
Cotton,Rajkot,Clay,922.4,27.3,77.4,24.8,31.9,115.3,8.36,Kharif,Canal,3.49
Wheat,Rajkot,Sandy,819.1,13.6,64.7,80.4,76.3,68.4,7.36,Rabi,Sprinkler,4.05
Maize,Bhavnagar,Red,631.4,31.1,82.1,126.5,60.0,99.9,5.71,Kharif,Sprinkler,5.53
Rice,Vadodara,Sandy,1007.9,30.4,89.4,65.9,20.6,35.7,6.21,Summer,Canal,5.21
Rice,Bhavnagar,Red,1070.4,28.6,79.2,65.4,51.4,58.4,6.1,Summer,Drip,5.55
Cotton,Amreli,Alluvial,1995.1,32.2,75.8,30.4,26.2,72.3,6.12,Kharif,Drip,2.43
Rice,Ahmedabad,Black,1280.0,23.6,82.1,89.8,67.2,40.2,6.83,Summer,Drip,5.99
Soybean,Ahmedabad,Clay,675.9,20.3,82.1,59.3,39.8,94.8,6.52,Kharif,Drip,3.93
Rice,Vadodara,Red,1117.8,32.4,92.6,70.9,37.4,116.0,6.83,Kharif,Rainfed,5.11
Soybean,Surat,Alluvial,1318.6,26.0,76.7,117.4,37.3,60.5,8.05,Kharif,Drip,4.08
Soybean,Amreli,Sandy,1170.3,24.2,50.7,27.5,41.0,76.3,6.89,Kharif,Sprinkler,2.99
Barley,Junagadh,Black,412.1,20.4,57.0,23.2,40.4,26.1,7.09,Rabi,Tube Well,4.93
Cotton,Amreli,Black,2146.9,29.5,83.5,101.7,63.3,68.7,6.79,Kharif,Rainfed,2.02
Wheat,Ahmedabad,Black,714.8,23.7,59.3,38.4,68.2,78.0,7.69,Rabi,Sprinkler,4.92
Soybean,Amreli,Clay,607.4,22.6,78.6,91.7,41.5,64.7,8.06,Kharif,Rainfed,3.75
Barley,Junagadh,Red,398.5,22.9,69.7,41.8,44.4,32.4,7.62,Rabi,Sprinkler,4.76
Soybean,Amreli,Black,537.3,22.5,69.6,123.0,63.4,60.7,8.36,Kharif,Canal,4.14
Barley,Ahmedabad,Sandy,401.0,19.5,68.8,32.2,73.4,100.2,6.95,Rabi,Rainfed,4.21
Rice,Junagadh,Alluvial,2091.6,32.7,82.8,43.0,63.3,80.5,7.31,Kharif,Tube Well,4.18
Rice,Ahmedabad,Alluvial,1527.0,24.8,89.2,42.3,16.8,60.8,7.47,Kharif,Rainfed,4.78
Soybean,Junagadh,Alluvial,1330.4,25.0,61.5,108.5,12.9,64.9,6.51,Kharif,Rainfed,3.28
Barley,Ahmedabad,Black,757.4,18.8,43.0,136.7,51.4,79.5,6.21,Rabi,Tube Well,4.69
Cotton,Rajkot,Sandy,1135.7,24.7,80.1,112.2,15.0,75.6,5.86,Kharif,Rainfed,2.94
Wheat,Rajkot,Sandy,745.5,19.7,73.0,50.1,18.0,56.3,7.35,Rabi,Sprinkler,4.73
Wheat,Amreli,Clay,477.2,17.7,74.8,124.2,55.2,69.2,6.35,Rabi,Rainfed,5.37
Rice,Junagadh,Alluvial,1437.9,28.7,87.7,53.8,35.4,112.1,5.67,Kharif,Canal,5.85
Soybean,Ahmedabad,Clay,808.9,29.9,69.6,81.8,18.0,16.7,8.39,Kharif,Tube Well,3.79
Soybean,Vadodara,Sandy,509.5,23.5,79.8,61.5,12.8,93.3,7.91,Kharif,Canal,3.45
Maize,Ahmedabad,Sandy,618.2,22.3,57.1,129.1,70.8,86.0,6.4,Kharif,Drip,5.43
Cotton,Vadodara,Black,1116.1,30.6,66.2,59.1,47.5,30.5,8.45,Kharif,Rainfed,3.27
Barley,Vadodara,Sandy,524.8,12.1,53.4,56.2,13.0,68.1,6.71,Rabi,Sprinkler,3.36
Cotton,Amreli,Sandy,987.2,35.1,87.5,133.0,64.1,53.2,8.31,Kharif,Tube Well,2.42
Rice,Vadodara,Red,1917.2,32.3,66.9,66.5,32.6,47.0,8.45,Summer,Tube Well,3.65
Wheat,Junagadh,Black,481.5,20.8,62.4,122.1,69.3,72.0,7.46,Rabi,Rainfed,5.54
Soybean,Rajkot,Clay,1168.1,21.2,52.0,56.0,47.9,32.6,6.56,Kharif,Canal,2.93
Maize,Surat,Red,1106.6,18.2,61.9,115.5,16.2,44.6,7.26,Rabi,Canal,4.26
Barley,Bhavnagar,Red,626.1,24.7,65.1,89.8,73.8,105.8,6.87,Rabi,Tube Well,4.65
Barley,Junagadh,Sandy,733.4,13.2,70.2,77.7,15.5,72.7,6.75,Rabi,Tube Well,3.68
Barley,Vadodara,Sandy,521.3,17.6,57.6,120.7,62.1,79.6,6.03,Rabi,Rainfed,4.29
Cotton,Junagadh,Sandy,2162.6,24.8,65.3,29.0,40.1,101.2,5.52,Kharif,Rainfed,0.54
Soybean,Ahmedabad,Alluvial,1138.7,31.8,51.8,31.6,67.6,44.6,6.05,Kharif,Canal,3.79
Soybean,Rajkot,Black,1197.0,19.9,66.4,92.7,44.3,17.8,7.85,Kharif,Drip,3.04
Rice,Junagadh,Alluvial,1513.5,34.7,88.6,78.5,85.6,21.0,8.29,Summer,Canal,5.09
Cotton,Junagadh,Black,1167.8,28.6,74.7,134.3,75.9,89.4,7.26,Kharif,Rainfed,4.06
Maize,Rajkot,Clay,732.9,22.4,53.0,56.4,87.3,114.2,6.5,Rabi,Sprinkler,5.95
Soybean,Rajkot,Black,1062.7,31.1,73.8,88.4,58.8,113.9,7.86,Kharif,Drip,4.3
Barley,Junagadh,Red,467.2,24.1,73.5,48.4,80.6,25.2,5.67,Rabi,Drip,4.42
Rice,Vadodara,Sandy,1118.2,29.6,85.8,81.8,89.2,79.2,6.61,Summer,Sprinkler,5.34
Rice,Rajkot,Sandy,1477.8,33.1,82.3,61.0,74.8,40.0,6.17,Kharif,Rainfed,4.55
Rice,Ahmedabad,Red,1518.0,33.8,67.4,104.8,62.3,106.6,6.23,Kharif,Rainfed,4.94
Wheat,Bhavnagar,Sandy,422.3,15.7,60.3,106.2,20.0,78.0,7.15,Rabi,Canal,4.71
Barley,Junagadh,Sandy,527.6,24.4,45.6,40.8,31.3,27.6,6.19,Rabi,Rainfed,3.7
Cotton,Ahmedabad,Clay,1069.2,26.3,94.2,69.3,45.6,75.5,8.45,Kharif,Rainfed,3.23
Cotton,Bhavnagar,Black,1650.3,23.2,85.3,27.7,57.7,92.7,6.13,Kharif,Tube Well,3.21
Maize,Surat,Alluvial,562.0,24.8,57.7,50.5,80.2,24.4,7.65,Kharif,Tube Well,6.26
Cotton,Amreli,Red,1811.4,22.1,80.3,36.7,79.3,106.5,6.76,Kharif,Sprinkler,2.33
Barley,Surat,Sandy,777.8,24.0,69.6,63.2,65.0,47.8,5.68,Rabi,Drip,4.22
